league,season,team1,team2,winner,game_score
ABA,1968,Anaheim Amigos,Oakland Oaks,Anaheim Amigos,1:0
ABA,1968,Dallas Chaparrals,Houston Mavericks,Dallas Chaparrals,3:0
ABA,1968,Dallas Chaparrals,New Orleans Buccaneers,New Orleans Buccaneers,1:4
ABA,1968,Denver Rockets,New Orleans Buccaneers,New Orleans Buccaneers,2:3
ABA,1968,Indiana Pacers,Pittsburgh Pipers,Pittsburgh Pipers,0:3
ABA,1968,Kentucky Colonels,Minnesota Muskies,Minnesota Muskies,2:3
ABA,1968,Minnesota Muskies,Pittsburgh Pipers,Pittsburgh Pipers,1:4
ABA,1968,New Orleans Buccaneers,Pittsburgh Pipers,Pittsburgh Pipers,3:4
ABA,1969,Dallas Chaparrals,New Orleans Buccaneers,New Orleans Buccaneers,3:4
ABA,1969,Denver Rockets,Oakland Oaks,Oakland Oaks,3:4
ABA,1969,Indiana Pacers,Kentucky Colonels,Indiana Pacers,4:3
ABA,1969,Indiana Pacers,Miami Floridians,Indiana Pacers,4:1
ABA,1969,Indiana Pacers,Oakland Oaks,Oakland Oaks,1:4
ABA,1969,Miami Floridians,Minnesota Pipers,Miami Floridians,4:3
ABA,1969,New Orleans Buccaneers,Oakland Oaks,Oakland Oaks,0:4
ABA,1970,Carolina Cougars,Indiana Pacers,Indiana Pacers,0:4
ABA,1970,Dallas Chaparrals,Los Angeles Stars,Los Angeles Stars,2:4
ABA,1970,Denver Rockets,Los Angeles Stars,Los Angeles Stars,1:4
ABA,1970,Denver Rockets,Washington Capitols,Denver Rockets,4:3
ABA,1970,Indiana Pacers,Kentucky Colonels,Indiana Pacers,4:1
ABA,1970,Indiana Pacers,Los Angeles Stars,Indiana Pacers,4:2
ABA,1970,Kentucky Colonels,New York Nets,Kentucky Colonels,4:3
ABA,1971,Denver Rockets,Texas Chaparrals,Texas Chaparrals,0:1
ABA,1971,Indiana Pacers,Memphis Pros,Indiana Pacers,4:0
ABA,1971,Indiana Pacers,Utah Stars,Utah Stars,3:4
ABA,1971,Kentucky Colonels,The Floridians,Kentucky Colonels,4:2
ABA,1971,Kentucky Colonels,Utah Stars,Utah Stars,3:4
ABA,1971,Kentucky Colonels,Virginia Squires,Kentucky Colonels,4:2
ABA,1971,New York Nets,Virginia Squires,Virginia Squires,2:4
ABA,1971,Texas Chaparrals,Utah Stars,Utah Stars,0:4
ABA,1972,Dallas Chaparrals,Utah Stars,Utah Stars,0:4
ABA,1972,Denver Rockets,Indiana Pacers,Indiana Pacers,3:4
ABA,1972,Indiana Pacers,New York Nets,Indiana Pacers,4:2
ABA,1972,Indiana Pacers,Utah Stars,Indiana Pacers,4:3
ABA,1972,Kentucky Colonels,New York Nets,New York Nets,2:4
ABA,1972,New York Nets,Virginia Squires,New York Nets,4:3
ABA,1972,The Floridians,Virginia Squires,Virginia Squires,0:4
ABA,1973,Carolina Cougars,Kentucky Colonels,Kentucky Colonels,3:4
ABA,1973,Carolina Cougars,New York Nets,Carolina Cougars,4:1
ABA,1973,Denver Rockets,Indiana Pacers,Indiana Pacers,1:4
ABA,1973,Indiana Pacers,Kentucky Colonels,Indiana Pacers,4:3
ABA,1973,Indiana Pacers,Utah Stars,Indiana Pacers,4:2
ABA,1973,Kentucky Colonels,Virginia Squires,Kentucky Colonels,4:1
ABA,1973,San Diego Conquistadors,Utah Stars,Utah Stars,0:4
ABA,1974,Carolina Cougars,Kentucky Colonels,Kentucky Colonels,0:4
ABA,1974,Denver Rockets,San Diego Conquistadors,San Diego Conquistadors,0:1
ABA,1974,Indiana Pacers,San Antonio Spurs,Indiana Pacers,4:3
ABA,1974,Indiana Pacers,Utah Stars,Utah Stars,3:4
ABA,1974,Kentucky Colonels,New York Nets,New York Nets,0:4
ABA,1974,New York Nets,Utah Stars,New York Nets,4:1
ABA,1974,New York Nets,Virginia Squires,New York Nets,4:1
ABA,1974,San Diego Conquistadors,Utah Stars,Utah Stars,2:4
ABA,1975,Denver Nuggets,Indiana Pacers,Indiana Pacers,3:4
ABA,1975,Denver Nuggets,Utah Stars,Denver Nuggets,4:2
ABA,1975,Indiana Pacers,Kentucky Colonels,Kentucky Colonels,1:4
