date,visitor_name,visitor_pts,home_name,home_pts,overtime,home_win,margin_of_victory,year,postseason
2023-10-24,Los Angeles Lakers,107,Denver Nuggets,119,0,True,12,2024,False
2023-10-24,Phoenix Suns,108,Golden State Warriors,104,0,False,4,2024,False
2023-10-25,Houston Rockets,86,Orlando Magic,116,0,True,30,2024,False
2023-10-25,Boston Celtics,108,New York Knicks,104,0,False,4,2024,False
2023-10-25,Washington Wizards,120,Indiana Pacers,143,0,True,23,2024,False
2023-10-25,Atlanta Hawks,110,Charlotte Hornets,116,0,True,6,2024,False
2023-10-25,Detroit Pistons,102,Miami Heat,103,0,True,1,2024,False
2023-10-25,Minnesota Timberwolves,94,Toronto Raptors,97,0,True,3,2024,False
2023-10-25,Cleveland Cavaliers,114,Brooklyn Nets,113,0,False,1,2024,False
2023-10-25,New Orleans Pelicans,111,Memphis Grizzlies,104,0,False,7,2024,False
2023-10-25,Oklahoma City Thunder,124,Chicago Bulls,104,0,False,20,2024,False
2023-10-25,Sacramento Kings,130,Utah Jazz,114,0,False,16,2024,False
2023-10-25,Dallas Mavericks,126,San Antonio Spurs,119,0,False,7,2024,False
2023-10-25,Portland Trail Blazers,111,Los Angeles Clippers,123,0,True,12,2024,False
2023-10-26,Philadelphia 76ers,117,Milwaukee Bucks,118,0,True,1,2024,False
2023-10-26,Phoenix Suns,95,Los Angeles Lakers,100,0,True,5,2024,False
2023-10-27,Denver Nuggets,108,Memphis Grizzlies,104,0,False,4,2024,False
2023-10-27,Detroit Pistons,111,Charlotte Hornets,99,0,False,12,2024,False
2023-10-27,New York Knicks,126,Atlanta Hawks,120,0,False,6,2024,False
2023-10-27,Oklahoma City Thunder,108,Cleveland Cavaliers,105,0,False,3,2024,False
2023-10-27,Miami Heat,111,Boston Celtics,119,0,True,8,2024,False
2023-10-27,Toronto Raptors,103,Chicago Bulls,104,1,True,1,2024,False
2023-10-27,Houston Rockets,122,San Antonio Spurs,126,1,True,4,2024,False
2023-10-27,Brooklyn Nets,120,Dallas Mavericks,125,0,True,5,2024,False
2023-10-27,Los Angeles Clippers,118,Utah Jazz,120,0,True,2,2024,False
2023-10-27,Orlando Magic,102,Portland Trail Blazers,97,0,False,5,2024,False
2023-10-27,Golden State Warriors,122,Sacramento Kings,114,0,False,8,2024,False
2023-10-28,Chicago Bulls,102,Detroit Pistons,118,0,True,16,2024,False
2023-10-28,Memphis Grizzlies,106,Washington Wizards,113,0,True,7,2024,False
2023-10-28,New York Knicks,87,New Orleans Pelicans,96,0,True,9,2024,False
2023-10-28,Indiana Pacers,125,Cleveland Cavaliers,113,0,False,12,2024,False
2023-10-28,Philadelphia 76ers,114,Toronto Raptors,107,0,False,7,2024,False
2023-10-28,Miami Heat,90,Minnesota Timberwolves,106,0,True,16,2024,False
2023-10-28,Utah Jazz,104,Phoenix Suns,126,0,True,22,2024,False
2023-10-29,Denver Nuggets,128,Oklahoma City Thunder,95,0,False,33,2024,False
2023-10-29,Golden State Warriors,106,Houston Rockets,95,0,False,11,2024,False
2023-10-29,Atlanta Hawks,127,Milwaukee Bucks,110,0,False,17,2024,False
2023-10-29,Portland Trail Blazers,98,Philadelphia 76ers,126,0,True,28,2024,False
2023-10-29,San Antonio Spurs,83,Los Angeles Clippers,123,0,True,40,2024,False
2023-10-29,Los Angeles Lakers,127,Sacramento Kings,132,1,True,5,2024,False
2023-10-30,Chicago Bulls,112,Indiana Pacers,105,0,False,7,2024,False
2023-10-30,Boston Celtics,126,Washington Wizards,107,0,False,19,2024,False
2023-10-30,Brooklyn Nets,133,Charlotte Hornets,121,0,False,12,2024,False
2023-10-30,Portland Trail Blazers,99,Toronto Raptors,91,0,False,8,2024,False
2023-10-30,Minnesota Timberwolves,113,Atlanta Hawks,127,0,True,14,2024,False
2023-10-30,Dallas Mavericks,125,Memphis Grizzlies,110,0,False,15,2024,False
2023-10-30,Miami Heat,114,Milwaukee Bucks,122,0,True,8,2024,False
2023-10-30,Golden State Warriors,130,New Orleans Pelicans,102,0,False,28,2024,False
2023-10-30,Detroit Pistons,112,Oklahoma City Thunder,124,0,True,12,2024,False
2023-10-30,Utah Jazz,102,Denver Nuggets,110,0,True,8,2024,False
2023-10-30,Orlando Magic,103,Los Angeles Lakers,106,0,True,3,2024,False
2023-10-31,New York Knicks,109,Cleveland Cavaliers,91,0,False,18,2024,False
2023-10-31,San Antonio Spurs,115,Phoenix Suns,114,0,False,1,2024,False
2023-10-31,Orlando Magic,102,Los Angeles Clippers,118,0,True,16,2024,False
2023-11-01,Portland Trail Blazers,110,Detroit Pistons,101,0,False,9,2024,False
2023-11-01,Milwaukee Bucks,111,Toronto Raptors,130,0,True,19,2024,False
2023-11-01,Washington Wizards,121,Atlanta Hawks,130,0,True,9,2024,False
2023-11-01,Indiana Pacers,104,Boston Celtics,155,0,True,51,2024,False
2023-11-01,Brooklyn Nets,109,Miami Heat,105,0,False,4,2024,False
2023-11-01,Cleveland Cavaliers,95,New York Knicks,89,0,False,6,2024,False
2023-11-01,New Orleans Pelicans,110,Oklahoma City Thunder,106,0,False,4,2024,False
2023-11-01,Charlotte Hornets,119,Houston Rockets,128,0,True,9,2024,False
2023-11-01,Denver Nuggets,89,Minnesota Timberwolves,110,0,True,21,2024,False
2023-11-01,Chicago Bulls,105,Dallas Mavericks,114,0,True,9,2024,False
2023-11-01,Memphis Grizzlies,109,Utah Jazz,133,0,True,24,2024,False
2023-11-01,Sacramento Kings,101,Golden State Warriors,102,0,True,1,2024,False
2023-11-01,Los Angeles Clippers,125,Los Angeles Lakers,130,1,True,5,2024,False
2023-11-02,Toronto Raptors,99,Philadelphia 76ers,114,0,True,15,2024,False
2023-11-02,Detroit Pistons,116,New Orleans Pelicans,125,0,True,9,2024,False
2023-11-02,Orlando Magic,115,Utah Jazz,113,0,False,2,2024,False
2023-11-02,San Antonio Spurs,132,Phoenix Suns,121,0,False,11,2024,False
2023-11-03,Cleveland Cavaliers,116,Indiana Pacers,121,0,True,5,2024,False
2023-11-03,New York Knicks,105,Milwaukee Bucks,110,0,True,5,2024,False
2023-11-03,Brooklyn Nets,109,Chicago Bulls,107,0,False,2,2024,False
2023-11-03,Washington Wizards,114,Miami Heat,121,0,True,7,2024,False
2023-11-03,Golden State Warriors,141,Oklahoma City Thunder,139,0,False,2,2024,False
2023-11-03,Dallas Mavericks,114,Denver Nuggets,125,0,True,11,2024,False
2023-11-03,Memphis Grizzlies,113,Portland Trail Blazers,115,1,True,2,2024,False
2023-11-04,Phoenix Suns,100,Philadelphia 76ers,112,0,True,12,2024,False
2023-11-04,Charlotte Hornets,125,Indiana Pacers,124,0,False,1,2024,False
2023-11-04,Atlanta Hawks,123,New Orleans Pelicans,105,0,False,18,2024,False
2023-11-04,Los Angeles Lakers,101,Orlando Magic,120,0,True,19,2024,False
2023-11-04,Boston Celtics,124,Brooklyn Nets,114,0,False,10,2024,False
2023-11-04,Sacramento Kings,89,Houston Rockets,107,0,True,18,2024,False
2023-11-04,Utah Jazz,95,Minnesota Timberwolves,123,0,True,28,2024,False
2023-11-04,Chicago Bulls,101,Denver Nuggets,123,0,True,22,2024,False
2023-11-05,Phoenix Suns,120,Detroit Pistons,106,0,False,14,2024,False
2023-11-05,Toronto Raptors,123,San Antonio Spurs,116,1,False,7,2024,False
2023-11-05,Golden State Warriors,104,Cleveland Cavaliers,115,0,True,11,2024,False
2023-11-05,Charlotte Hornets,118,Dallas Mavericks,124,0,True,6,2024,False
2023-11-05,Memphis Grizzlies,112,Portland Trail Blazers,100,0,False,12,2024,False
2023-11-06,Golden State Warriors,120,Detroit Pistons,109,0,False,11,2024,False
2023-11-06,San Antonio Spurs,111,Indiana Pacers,152,0,True,41,2024,False
2023-11-06,Dallas Mavericks,117,Orlando Magic,102,0,False,15,2024,False
2023-11-06,Washington Wizards,128,Philadelphia 76ers,146,0,True,18,2024,False
2023-11-06,Milwaukee Bucks,129,Brooklyn Nets,125,0,False,4,2024,False
2023-11-06,Los Angeles Lakers,107,Miami Heat,108,0,True,1,2024,False
2023-11-06,Los Angeles Clippers,97,New York Knicks,111,0,True,14,2024,False
2023-11-06,Utah Jazz,113,Chicago Bulls,130,0,True,17,2024,False
2023-11-06,Sacramento Kings,97,Houston Rockets,122,0,True,25,2024,False
2023-11-06,Boston Celtics,109,Minnesota Timberwolves,114,1,True,5,2024,False
2023-11-06,Atlanta Hawks,117,Oklahoma City Thunder,126,0,True,9,2024,False
2023-11-06,New Orleans Pelicans,116,Denver Nuggets,134,0,True,18,2024,False
2023-11-08,Washington Wizards,132,Charlotte Hornets,116,0,False,16,2024,False
2023-11-08,Utah Jazz,118,Indiana Pacers,134,0,True,16,2024,False
2023-11-08,Boston Celtics,103,Philadelphia 76ers,106,0,True,3,2024,False
2023-11-08,Los Angeles Clippers,93,Brooklyn Nets,100,0,True,7,2024,False
2023-11-08,San Antonio Spurs,105,New York Knicks,126,0,True,21,2024,False
2023-11-08,Phoenix Suns,116,Chicago Bulls,115,1,False,1,2024,False
2023-11-08,Los Angeles Lakers,94,Houston Rockets,128,0,True,34,2024,False
2023-11-08,Miami Heat,108,Memphis Grizzlies,102,0,False,6,2024,False
2023-11-08,Detroit Pistons,118,Milwaukee Bucks,120,0,True,2,2024,False
2023-11-08,New Orleans Pelicans,101,Minnesota Timberwolves,122,0,True,21,2024,False
2023-11-08,Cleveland Cavaliers,120,Oklahoma City Thunder,128,0,True,8,2024,False
2023-11-08,Toronto Raptors,127,Dallas Mavericks,116,0,False,11,2024,False
2023-11-08,Golden State Warriors,105,Denver Nuggets,108,0,True,3,2024,False
2023-11-08,Portland Trail Blazers,118,Sacramento Kings,121,1,True,3,2024,False
2023-11-09,Milwaukee Bucks,124,Indiana Pacers,126,0,True,2,2024,False
2023-11-09,Atlanta Hawks,120,Orlando Magic,119,0,False,1,2024,False
2023-11-10,Philadelphia 76ers,114,Detroit Pistons,106,0,False,8,2024,False
2023-11-10,Charlotte Hornets,124,Washington Wizards,117,0,False,7,2024,False
2023-11-10,Brooklyn Nets,107,Boston Celtics,121,0,True,14,2024,False
2023-11-10,New Orleans Pelicans,101,Houston Rockets,104,0,True,3,2024,False
2023-11-10,Utah Jazz,127,Memphis Grizzlies,121,0,False,6,2024,False
2023-11-10,Minnesota Timberwolves,117,San Antonio Spurs,110,0,False,7,2024,False
2023-11-10,Los Angeles Clippers,126,Dallas Mavericks,144,0,True,18,2024,False
2023-11-10,Los Angeles Lakers,122,Phoenix Suns,119,0,False,3,2024,False
2023-11-10,Oklahoma City Thunder,98,Sacramento Kings,105,0,True,7,2024,False
2023-11-11,Milwaukee Bucks,97,Orlando Magic,112,0,True,15,2024,False
2023-11-11,Toronto Raptors,94,Boston Celtics,117,0,True,23,2024,False
2023-11-11,Miami Heat,117,Atlanta Hawks,109,0,False,8,2024,False
2023-11-11,Cleveland Cavaliers,118,Golden State Warriors,110,0,False,8,2024,False
2023-11-12,Charlotte Hornets,107,New York Knicks,129,0,True,22,2024,False
2023-11-12,Washington Wizards,94,Brooklyn Nets,102,0,True,8,2024,False
2023-11-12,Memphis Grizzlies,105,Los Angeles Clippers,101,0,False,4,2024,False
2023-11-12,Indiana Pacers,126,Philadelphia 76ers,137,0,True,11,2024,False
